3 8000
786 677 0
953 734 0
2 107 0
342 730 0
322 365 0
494 820 0
663 303 1
62 768 0
422 416 0
157 395 0
319 829 0
755 552 0
825 368 1
966 375 1
771 910 0
129 941 0
730 438 0
89 786 0
293 822 0
9 36 0
58 226 0
790 884 0
34 632 0
593 480 0
406 970 0
815 138 1
998 624 0
58 230 0
645 910 0
658 740 0
337 419 0
300 813 0
334 219 0
525 755 0
72 911 0
450 141 1
985 292 1
865 895 0
882 330 1
729 225 1
644 384 0
109 786 0
951 128 1
939 403 1
734 9 1
148 970 0
398 362 0
486 840 0
450 237 0
78 424 0
386 777 0
846 9 1
653 335 0
439 181 1
252 453 0
289 992 0
415 582 0
965 97 1
424 578 0
990 328 1
757 681 0
743 250 1
960 330 1
991 845 0
504 940 0
557 496 0
980 327 1
934 715 0
687 198 1
559 251 1
272 999 0
226 978 0
256 345 0
863 859 0
33 778 0
684 242 1
45 121 0
631 656 0
389 747 0
259 824 0
435 713 0
371 244 0
982 502 0
303 517 0
739 84 1
212 673 0
42 8 1
716 442 0
903 31 1
973 478 1
516 483 0
360 403 0
100 291 0
598 251 1
372 594 0
168 327 0
362 564 0
888 195 1
593 921 0
612 970 0
104 481 0
128 416 0
215 810 0
557 514 0
610 207 1
781 313 1
938 514 0
116 432 0
945 402 1
251 198 0
652 786 0
283 244 0
714 364 0
339 197 0
916 717 0
589 268 1
212 453 0
154 352 0
552 486 0
428 209 0
790 364 1
111 278 0
621 553 0
758 675 0
825 972 0
801 511 0
156 251 0
840 470 0
300 806 0
134 884 0
407 347 0
603 1000 0
342 195 0
826 205 1
770 392 0
526 370 0
62 706 0
244 444 0
859 513 0
315 919 0
847 887 0
552 286 0
509 813 0
994 633 0
544 63 1
752 307 1
981 623 0
587 544 0
887 573 0
306 730 0
914 66 1
813 375 1
583 604 0
996 222 1
551 781 0
628 518 0
6 602 0
907 870 0
646 814 0
247 848 0
986 631 0
833 122 1
830 303 1
361 328 0
636 409 0
154 417 0
694 973 0
429 133 1
704 160 1
445 133 1
803 593 0
889 310 1
173 695 0
977 440 1
133 596 0
36 370 0
536 846 0
148 10 1
957 617 0
861 810 0
321 441 0
234 620 0
683 472 0
815 561 0
662 377 0
322 784 0
601 851 0
868 112 1
900 42 1
228 729 0
84 121 0
428 251 0
114 274 0
816 388 1
899 133 1
431 410 0
895 182 1
301 830 0
696 29 1
514 327 0
536 512 0
198 458 0
67 960 0
75 410 0
217 635 0
17 453 0
522 287 0
793 99 1
615 5 1
787 295 1
116 926 0
679 823 0
958 397 1
500 417 0
603 562 0
65 339 0
162 4 1
700 870 0
602 569 0
197 146 0
782 289 1
149 961 0
751 196 1
581 369 0
356 663 0
463 494 0
376 859 0
651 900 0
644 133 1
704 28 1
274 63 1
609 870 0
939 486 0
934 783 0
511 935 0
368 50 1
507 354 0
172 862 0
576 637 0
11 184 0
114 777 0
802 306 1
57 381 0
963 720 0
956 473 0
908 855 0
983 556 0
407 388 0
173 446 0
524 779 0
672 287 1
636 300 1
963 411 1
545 601 0
645 671 0
660 101 1
403 785 0
54 827 0
435 579 0
725 774 0
707 855 0
541 213 1
696 913 0
605 117 1
644 188 1
135 727 0
390 555 0
107 816 0
637 134 1
606 43 1
232 473 0
604 21 1
58 370 0
688 493 0
362 566 0
325 17 1
494 49 1
104 686 0
47 97 0
447 256 0
419 482 0
6 744 0
261 913 0
74 251 0
970 822 0
717 552 0
359 84 1
179 946 0
875 179 1
28 557 0
884 970 0
590 284 1
105 228 0
864 518 0
788 287 1
871 929 0
235 945 0
854 804 0
195 936 0
341 126 1
428 24 1
82 440 0
349 341 0
534 987 0
235 851 0
58 47 0
545 856 0
890 0 1
558 566 0
483 330 0
479 526 0
514 415 0
927 625 0
614 666 0
317 955 0
648 671 0
479 139 1
919 118 1
956 339 1
470 980 0
446 734 0
605 550 0
694 275 1
710 997 0
716 306 1
225 437 0
805 309 1
692 845 0
76 350 0
229 399 0
37 905 0
107 58 0
19 805 0
541 886 0
981 145 1
992 781 0
985 77 1
67 10 1
278 986 0
136 682 0
617 559 0
788 454 0
825 562 0
3 321 0
110 302 0
709 217 1
569 702 0
353 221 0
666 222 1
797 809 0
986 650 0
183 794 0
597 130 1
264 518 0
570 156 1
22 825 0
566 655 0
15 808 0
133 464 0
209 845 0
201 295 0
995 395 1
450 652 0
541 768 0
514 875 0
130 730 0
679 883 0
734 283 1
5 654 0
869 545 0
633 780 0
334 303 0
26 457 0
281 255 0
616 874 0
692 601 0
315 10 1
951 593 0
90 850 0
620 114 1
866 779 0
127 197 0
204 982 0
207 243 0
989 174 1
757 549 0
280 842 0
756 855 0
928 355 1
167 61 1
115 579 0
871 201 1
458 266 0
132 318 0
373 297 0
929 883 0
565 127 1
802 304 1
707 444 0
601 594 0
158 118 0
270 627 0
525 122 1
340 563 0
701 155 1
206 164 0
452 525 0
861 902 0
644 436 0
50 499 0
416 318 0
379 207 0
954 905 0
735 561 0
520 256 0
366 451 0
750 900 0
75 312 0
982 719 0
642 115 1
665 863 0
16 194 0
561 678 0
336 805 0
437 471 0
1 551 0
456 739 0
674 707 0
86 861 0
470 850 0
843 267 1
492 603 0
707 728 0
788 904 0
621 112 1
940 537 0
104 649 0
113 210 0
609 638 0
856 83 1
57 252 0
447 338 0
160 525 0
755 571 0
376 490 0
955 212 1
205 424 0
148 137 0
10 531 0
636 570 0
82 809 0
179 462 0
154 767 0
495 679 0
77 702 0
676 87 1
713 64 1
310 250 0
307 671 0
241 154 0
323 68 1
169 268 0
576 702 0
88 97 0
345 826 0
687 150 1
748 381 0
951 929 0
332 876 0
735 452 0
690 782 0
658 751 0
305 330 0
676 256 1
793 21 1
925 727 0
726 900 0
416 446 0
822 358 1
514 143 1
111 113 0
76 20 1
616 887 0
271 563 0
537 598 0
599 749 0
175 381 0
57 107 0
854 158 1
319 281 0
55 17 1
667 727 0
497 501 0
51 760 0
313 915 0
168 168 0
339 956 0
965 66 1
662 901 0
426 838 0
858 605 0
72 87 0
946 651 0
593 338 0
144 473 0
572 392 0
626 846 0
652 398 0
390 940 0
550 621 0
800 673 0
348 494 0
158 898 0
105 551 0
8 564 0
443 860 0
254 735 0
715 674 0
493 848 0
950 185 1
911 845 0
353 812 0
842 985 0
182 717 0
917 189 1
549 0 1
897 209 1
869 50 1
342 168 0
485 383 0
616 138 1
863 565 0
908 391 1
436 160 1
594 562 0
732 707 0
453 718 0
666 858 0
422 137 1
341 330 0
780 727 0
821 184 1
666 611 0
847 402 1
805 27 1
819 980 0
743 838 0
779 32 1
941 225 1
174 288 0
495 281 0
735 978 0
39 539 0
785 55 1
430 840 0
926 322 1
257 605 0
376 120 1
428 512 0
539 205 1
295 996 0
110 742 0
481 564 0
903 554 0
776 14 1
323 966 0
215 393 0
81 603 0
424 672 0
204 85 1
283 5 1
212 948 0
551 485 0
459 12 1
3 123 0
215 954 0
824 754 0
869 298 1
823 868 0
748 262 1
809 111 1
776 673 0
762 176 1
894 582 0
843 417 0
660 895 0
329 484 0
400 343 0
831 983 0
347 230 0
333 968 0
46 805 0
436 929 0
332 988 0
989 782 0
350 648 0
685 502 0
494 355 0
5 499 0
845 88 1
321 826 0
569 824 0
674 844 0
171 606 0
682 38 1
93 642 0
667 396 0
181 41 1
215 870 0
545 266 1
721 557 0
105 129 0
475 207 1
40 465 0
192 145 0
682 864 0
446 573 0
391 126 1
849 532 0
216 644 0
615 53 1
470 611 0
984 558 0
576 704 0
99 517 0
386 850 0
907 961 0
755 831 0
173 229 0
169 792 0
17 942 0
63 519 0
337 676 0
321 820 0
684 550 0
728 234 1
468 221 1
227 421 0
78 155 0
432 93 1
738 893 0
906 59 1
532 39 1
179 306 0
340 572 0
525 131 1
270 629 0
193 284 0
961 816 0
84 208 0
714 802 0
82 478 0
535 212 1
279 19 1
392 254 0
983 599 0
926 896 0
792 788 0
831 533 0
441 945 0
91 498 0
923 893 0
408 661 0
410 804 0
431 815 0
535 591 0
537 901 0
482 529 0
861 737 0
408 405 0
403 991 0
189 192 0
371 186 0
209 223 0
893 686 0
254 680 0
531 767 0
551 737 0
481 720 0
909 484 0
955 213 1
737 418 0
859 442 0
432 310 0
214 506 0
560 312 0
716 82 1
310 645 0
399 95 1
501 487 0
923 65 1
39 795 0
151 371 0
487 795 0
761 334 1
986 229 1
593 478 0
632 595 0
35 368 0
204 277 0
790 558 0
841 239 1
487 135 1
699 94 1
977 738 0
53 623 0
848 698 0
756 836 0
104 195 0
10 933 0
188 781 0
969 488 0
369 35 1
135 965 0
104 214 0
382 817 0
787 872 0
333 966 0
94 692 0
265 306 0
203 191 0
441 921 0
58 470 0
474 720 0
914 474 0
13 547 0
727 619 0
150 233 0
521 347 0
285 420 0
571 300 0
808 937 0
791 480 0
435 703 0
573 26 1
920 105 1
323 199 0
636 384 0
321 722 0
913 123 1
723 813 0
976 359 1
750 348 1
559 872 0
93 228 0
381 933 0
210 965 0
43 67 0
942 857 0
83 457 0
746 579 0
66 990 0
817 96 1
408 906 0
713 278 1
462 159 1
566 639 0
791 569 0
977 857 0
551 237 1
611 561 0
362 107 1
724 177 1
876 661 0
237 247 0
46 804 0
4 813 0
593 412 0
7 737 0
411 541 0
377 695 0
187 233 0
439 301 0
458 87 1
604 37 1
509 579 0
381 535 0
50 974 0
333 841 0
220 219 0
365 717 0
591 974 0
578 455 0
707 721 0
660 525 0
487 270 0
904 440 1
296 544 0
450 313 0
823 264 1
295 636 0
297 539 0
933 124 1
567 115 1
777 150 1
191 193 0
150 795 0
814 581 0
767 948 0
191 331 0
302 934 0
427 388 0
177 194 0
885 701 0
421 1 1
228 323 0
445 99 1
727 475 0
402 832 0
721 571 0
132 171 0
232 198 0
807 696 0
740 321 1
298 409 0
705 447 0
945 299 1
324 538 0
606 650 0
203 408 0
675 459 0
494 450 0
392 857 0
332 446 0
105 504 0
736 468 0
695 301 1
831 337 1
493 880 0
255 488 0
276 978 0
600 37 1
8 789 0
876 273 1
500 31 1
108 642 0
210 432 0
713 639 0
186 457 0
51 292 0
176 27 1
100 543 0
382 883 0
145 998 0
894 540 0
436 769 0
456 133 1
27 625 0
422 268 0
433 296 0
62 351 0
649 447 0
830 463 0
402 867 0
667 980 0
39 302 0
901 426 1
255 77 1
561 940 0
71 465 0
643 775 0
569 973 0
12 198 0
799 455 0
956 836 0
596 793 0
51 300 0
18 193 0
841 842 0
893 325 1
839 660 0
125 709 0
703 176 1
452 344 0
356 917 0
165 824 0
774 753 0
109 754 0
41 802 0
761 87 1
973 700 0
458 640 0
86 230 0
829 644 0
987 112 1
967 697 0
58 703 0
613 596 0
214 157 0
260 516 0
221 882 0
358 337 0
223 833 0
455 67 1
838 251 1
388 685 0
684 916 0
862 651 0
578 629 0
671 149 1
687 727 0
558 722 0
744 630 0
945 354 1
914 795 0
73 499 0
689 882 0
89 410 0
244 407 0
650 848 0
956 24 1
9 379 0
676 136 1
433 143 1
180 833 0
709 685 0
382 948 0
229 135 0
505 838 0
820 554 0
1 932 0
195 58 1
509 576 0
856 188 1
590 556 0
360 138 1
386 368 0
6 388 0
450 786 0
296 355 0
441 758 0
177 431 0
380 596 0
508 416 0
887 166 1
788 740 0
654 998 0
69 238 0
931 73 1
591 563 0
408 877 0
72 931 0
615 799 0
165 977 0
16 114 0
966 74 1
355 902 0
816 203 1
434 42 1
6 761 0
262 75 1
389 326 0
302 516 0
341 317 0
917 22 1
543 638 0
940 480 0
325 5 1
721 761 0
620 197 1
386 962 0
115 218 0
534 890 0
913 911 0
6 80 0
109 328 0
992 256 1
14 840 0
547 724 0
330 384 0
853 118 1
846 431 0
411 56 1
183 288 0
6 372 0
324 918 0
143 231 0
107 274 0
177 456 0
629 322 0
562 42 1
75 498 0
37 714 0
67 606 0
476 805 0
573 814 0
264 719 0
220 10 1
255 32 1
793 460 0
595 430 0
607 148 1
241 611 0
277 68 1
798 863 0
66 660 0
674 617 0
418 886 0
94 648 0
419 617 0
982 604 0
362 753 0
19 457 0
136 719 0
991 43 1
629 582 0
542 240 1
442 453 0
849 987 0
590 243 1
802 398 0
206 263 0
818 788 0
609 993 0
107 574 0
850 894 0
702 814 0
588 348 0
240 35 1
525 29 1
408 826 0
747 924 0
545 471 0
70 433 0
814 608 0
433 870 0
94 742 0
724 945 0
107 185 0
453 237 0
581 588 0
115 448 0
985 113 1
933 44 1
255 964 0
907 869 0
513 751 0
290 161 0
987 266 1
106 677 0
377 503 0
113 416 0
280 985 0
871 200 1
377 185 0
447 264 0
134 721 0
483 318 0
599 718 0
349 133 1
620 10 1
281 502 0
538 136 1
303 946 0
422 770 0
16 844 0
229 839 0
63 187 0
595 884 0
587 268 1
930 350 1
719 466 0
492 130 1
500 672 0
168 463 0
579 88 1
616 208 1
259 222 0
245 365 0
706 903 0
131 183 0
519 446 0
101 391 0
504 340 0
407 521 0
901 380 1
520 721 0
891 35 1
888 833 0
885 581 0
53 307 0
324 664 0
121 798 0
918 151 1
613 631 0
933 307 1
324 344 0
82 573 0
7 739 0
637 83 1
209 568 0
209 857 0
912 100 1
344 196 0
998 629 0
95 353 0
211 826 0
226 645 0
943 400 1
582 445 0
809 343 1
608 405 0
79 551 0
428 244 0
712 939 0
177 484 0
474 43 1
190 599 0
912 624 0
820 764 0
317 733 0
397 733 0
811 474 0
443 289 0
879 670 0
252 764 0
684 814 0
143 584 0
399 179 1
733 392 0
898 518 0
400 905 0
966 955 0
273 630 0
664 449 0
611 429 0
399 332 0
937 951 0
107 751 0
385 466 0
95 866 0
94 322 0
45 925 0
701 635 0
545 929 0
602 955 0
195 257 0
728 170 1
814 57 1
161 444 0
770 634 0
200 743 0
96 565 0
363 558 0
296 634 0
596 500 0
327 956 0
412 334 0
567 385 0
363 929 0
112 236 0
275 106 1
93 736 0
997 30 1
412 566 0
510 27 1
211 362 0
298 814 0
985 209 1
323 236 0
596 194 1
883 935 0
277 46 1
483 200 1
110 653 0
677 678 0
346 110 1
953 873 0
500 743 0
44 132 0
660 807 0
812 608 0
668 110 1
864 464 0
300 464 0
271 908 0
867 870 0
242 487 0
597 110 1
86 201 0
8 47 0
686 562 0
448 865 0
807 117 1
840 345 1
796 268 1
377 62 1
910 313 1
642 465 0
46 967 0
576 30 1
25 34 0
257 6 1
317 878 0
913 738 0
380 597 0
320 703 0
793 356 1
672 541 0
266 35 1
952 179 1
342 755 0
940 743 0
337 635 0
604 1 1
207 298 0
834 632 0
55 616 0
175 805 0
846 429 0
695 711 0
642 953 0
677 266 1
323 299 0
559 15 1
475 677 0
700 430 0
96 850 0
396 618 0
883 113 1
454 850 0
27 800 0
774 684 0
896 314 1
875 957 0
99 709 0
646 36 1
126 634 0
788 861 0
125 429 0
587 613 0
349 573 0
373 638 0
611 489 0
269 92 1
621 206 1
256 71 1
861 640 0
837 997 0
824 26 1
81 710 0
140 715 0
130 473 0
21 912 0
964 880 0
626 754 0
347 405 0
305 912 0
552 296 0
750 22 1
768 110 1
493 760 0
395 357 0
500 842 0
555 771 0
945 638 0
80 541 0
199 4 1
130 478 0
634 57 1
25 131 0
59 631 0
413 320 0
563 549 0
611 67 1
517 730 0
840 64 1
222 571 0
637 30 1
141 901 0
839 835 0
695 402 0
825 387 1
322 229 0
228 952 0
707 186 1
905 484 0
882 832 0
572 789 0
106 657 0
829 840 0
582 502 0
309 643 0
923 463 0
293 558 0
887 373 1
583 793 0
113 662 0
842 467 0
531 228 1
513 283 0
425 818 0
13 578 0
199 306 0
98 243 0
53 425 0
242 781 0
169 257 0
319 863 0
252 329 0
441 372 0
267 299 0
543 726 0
484 55 1
949 661 0
842 906 0
865 713 0
888 253 1
780 453 0
529 151 1
226 996 0
346 966 0
200 735 0
169 701 0
194 954 0
951 765 0
52 230 0
686 180 1
642 462 0
880 619 0
854 233 1
674 341 0
77 78 0
31 250 0
878 713 0
976 255 1
236 847 0
428 923 0
558 674 0
773 996 0
498 957 0
25 587 0
750 743 0
833 775 0
51 217 0
531 558 0
19 334 0
364 699 0
440 246 0
571 250 1
920 732 0
89 210 0
189 739 0
704 878 0
710 497 0
362 643 0
324 749 0
151 409 0
342 101 1
254 282 0
742 102 1
521 621 0
57 295 0
805 791 0
383 177 1
498 726 0
588 532 0
741 499 0
634 903 0
337 677 0
945 453 1
339 53 1
519 51 1
116 483 0
971 345 1
299 337 0
699 856 0
561 486 0
614 89 1
959 804 0
943 380 1
327 315 0
330 755 0
239 912 0
797 852 0
433 373 0
583 478 0
462 663 0
607 849 0
205 760 0
35 653 0
712 479 0
302 919 0
809 344 1
271 675 0
571 234 1
70 69 0
339 159 1
695 1000 0
481 374 0
422 226 0
306 321 0
752 997 0
341 793 0
578 429 0
336 831 0
939 294 1
998 451 1
616 749 0
654 994 0
539 16 1
87 436 0
926 372 1
3 626 0
11 778 0
771 791 0
255 221 0
928 941 0
534 499 0
898 729 0
328 179 0
828 796 0
423 262 0
923 473 0
486 553 0
369 979 0
282 750 0
406 61 1
62 607 0
199 27 1
125 421 0
122 731 0
124 185 0
599 404 0
142 283 0
857 158 1
861 149 1
239 630 0
171 463 0
430 443 0
375 618 0
845 262 1
513 816 0
786 445 0
655 395 0
804 899 0
170 340 0
730 895 0
189 335 0
130 321 0
391 940 0
112 103 0
180 250 0
622 423 0
455 924 0
372 296 0
391 785 0
863 964 0
138 198 0
313 905 0
364 567 0
157 304 0
836 501 0
145 155 0
655 830 0
709 187 1
714 892 0
932 328 1
920 886 0
271 252 0
487 89 1
186 569 0
838 853 0
880 116 1
321 749 0
198 90 1
193 444 0
145 101 0
125 214 0
241 39 1
458 365 0
970 607 0
477 155 1
961 452 1
713 358 0
495 993 0
82 849 0
254 99 1
555 634 0
40 523 0
356 457 0
863 942 0
791 895 0
682 354 0
432 152 1
830 115 1
638 970 0
911 704 0
362 762 0
864 591 0
74 268 0
855 666 0
115 961 0
358 663 0
640 818 0
698 324 1
455 342 0
657 431 0
481 798 0
673 654 0
48 491 0
343 735 0
637 761 0
463 443 0
936 280 1
500 262 0
148 636 0
892 113 1
363 343 0
31 45 0
575 766 0
570 784 0
691 852 0
891 861 0
435 131 1
164 835 0
997 786 0
450 150 1
623 677 0
999 248 1
65 869 0
687 786 0
960 214 1
112 200 0
467 481 0
761 333 1
108 202 0
338 889 0
779 909 0
367 420 0
714 875 0
847 543 0
628 8 1
564 234 1
626 773 0
987 579 0
443 796 0
552 968 0
303 937 0
467 221 1
550 119 1
400 482 0
211 379 0
6 585 0
625 181 1
978 462 1
303 203 0
500 888 0
443 910 0
21 911 0
295 391 0
261 111 1
14 228 0
149 406 0
909 411 1
957 166 1
998 708 0
638 322 0
635 305 1
108 863 0
391 670 0
154 148 0
304 527 0
989 191 1
699 906 0
428 216 0
637 671 0
250 464 0
93 673 0
74 914 0
754 542 0
493 178 1
924 729 0
476 168 1
576 192 1
657 105 1
833 205 1
470 799 0
400 673 0
799 811 0
346 204 0
168 335 0
62 281 0
314 786 0
918 503 0
617 856 0
316 745 0
541 433 0
965 233 1
813 654 0
905 499 0
272 86 1
861 590 0
342 281 0
724 378 0
249 346 0
740 956 0
551 325 0
975 77 1
864 531 0
747 864 0
271 253 0
523 293 0
868 631 0
36 967 0
307 984 0
181 222 0
239 642 0
176 574 0
986 163 1
282 568 0
132 172 0
957 407 1
542 452 0
41 807 0
513 96 1
332 319 0
462 95 1
51 958 0
745 90 1
148 770 0
735 42 1
10 346 0
176 564 0
656 443 0
402 188 1
136 303 0
213 349 0
955 34 1
944 483 0
782 539 0
796 945 0
821 454 0
321 224 0
597 704 0
495 385 0
683 372 0
680 843 0
774 423 0
309 403 0
915 19 1
148 398 0
39 355 0
865 174 1
72 726 0
84 296 0
24 183 0
145 814 0
590 524 0
341 383 0
91 613 0
586 238 1
308 360 0
451 196 1
92 756 0
329 161 0
227 38 1
776 647 0
489 398 0
738 713 0
129 757 0
874 781 0
507 463 0
987 126 1
649 757 0
525 451 0
966 105 1
500 626 0
177 397 0
18 346 0
327 88 1
803 474 0
35 557 0
243 330 0
451 418 0
646 706 0
775 724 0
484 178 1
391 693 0
357 276 0
941 255 1
475 815 0
364 70 1
59 9 1
545 588 0
864 612 0
909 46 1
370 14 1
572 629 0
412 148 1
487 491 0
608 399 0
756 788 0
560 581 0
169 331 0
305 495 0
99 14 1
32 716 0
446 347 0
15 576 0
144 175 0
881 867 0
220 979 0
535 300 0
115 723 0
650 504 0
817 158 1
230 581 0
324 465 0
962 67 1
421 869 0
539 162 1
953 264 1
445 533 0
254 788 0
187 106 0
929 965 0
369 692 0
516 861 0
570 737 0
720 748 0
16 992 0
66 423 0
568 47 1
214 840 0
298 553 0
147 678 0
131 867 0
779 951 0
288 790 0
826 389 1
813 807 0
687 638 0
631 920 0
930 171 1
492 481 0
467 2 1
214 283 0
153 318 0
319 793 0
529 215 1
27 593 0
465 652 0
406 540 0
830 513 0
815 68 1
271 854 0
837 296 1
446 100 1
153 319 0
985 521 0
254 186 0
317 34 1
74 506 0
620 746 0
775 300 1
395 305 0
53 651 0
450 57 1
212 531 0
146 329 0
311 57 1
582 914 0
16 670 0
219 522 0
259 502 0
510 445 0
466 640 0
843 718 0
14 834 0
83 933 0
772 527 0
984 752 0
251 226 0
981 714 0
366 501 0
321 80 1
401 662 0
459 7 1
976 689 0
878 334 1
432 414 0
757 484 0
29 532 0
814 864 0
402 298 0
599 193 1
485 431 0
114 139 0
413 66 1
913 471 0
27 606 0
128 498 0
772 82 1
196 981 0
594 349 0
379 546 0
660 270 1
378 943 0
417 209 0
319 462 0
153 69 1
745 530 0
624 434 0
467 720 0
629 489 0
442 536 0
820 402 1
944 783 0
275 132 1
239 169 0
786 920 0
528 865 0
782 760 0
725 268 1
831 99 1
651 221 1
161 38 1
780 644 0
55 816 0
654 536 0
794 314 1
600 518 0
117 37 1
430 224 0
266 682 0
325 242 0
953 898 0
637 116 1
29 641 0
367 213 0
131 127 0
554 31 1
682 157 1
507 250 0
13 443 0
199 628 0
815 422 0
31 584 0
857 847 0
42 729 0
374 376 0
328 483 0
855 749 0
218 142 0
756 940 0
837 173 1
169 840 0
897 716 0
305 720 0
267 924 0
861 534 0
213 635 0
774 476 0
52 569 0
549 256 1
381 486 0
239 618 0
299 472 0
449 443 0
362 387 0
879 284 1
814 838 0
358 297 0
911 982 0
820 162 1
264 622 0
759 417 0
626 724 0
415 315 0
568 897 0
161 81 0
324 632 0
822 544 0
625 950 0
201 638 0
586 156 1
608 632 0
198 700 0
677 56 1
256 32 1
976 781 0
214 649 0
129 296 0
360 570 0
205 794 0
91 62 0
109 884 0
891 674 0
920 580 0
865 506 0
825 157 1
164 82 0
5 170 0
862 681 0
635 147 1
551 880 0
509 821 0
731 372 0
202 561 0
245 666 0
399 911 0
336 579 0
437 512 0
68 665 0
712 412 0
412 345 0
903 717 0
185 812 0
439 506 0
970 166 1
516 667 0
713 773 0
979 658 0
548 752 0
412 599 0
637 368 0
561 171 1
146 80 0
644 103 1
5 273 0
487 792 0
633 216 1
747 945 0
989 794 0
987 269 1
227 139 0
217 595 0
428 181 1
615 178 1
517 305 0
315 156 0
721 846 0
938 887 0
376 678 0
651 119 1
385 494 0
842 634 0
182 163 0
304 641 0
620 390 0
176 59 1
669 986 0
723 893 0
642 782 0
338 996 0
530 311 0
910 64 1
59 523 0
646 936 0
318 203 0
350 418 0
55 635 0
219 196 0
641 189 1
536 159 1
751 176 1
668 150 1
810 366 1
870 671 0
527 829 0
85 307 0
106 72 0
384 346 0
688 3 1
809 547 0
386 700 0
535 430 0
725 744 0
84 316 0
324 866 0
163 976 0
791 584 0
798 84 1
931 585 0
154 663 0
499 371 0
699 187 1
690 875 0
304 523 0
272 876 0
901 183 1
494 35 1
186 775 0
383 463 0
359 188 0
802 829 0
772 824 0
90 973 0
154 76 0
983 798 0
154 906 0
867 218 1
318 456 0
100 647 0
834 500 0
799 409 0
776 603 0
953 66 1
151 219 0
534 563 0
161 10 1
765 91 1
981 595 0
835 983 0
586 427 0
691 390 0
214 139 0
636 191 1
743 389 0
610 649 0
808 124 1
829 615 0
754 732 0
806 920 0
389 490 0
220 726 0
162 571 0
805 670 0
748 335 1
128 895 0
143 934 0
380 766 0
524 194 1
150 421 0
106 396 0
907 940 0
18 672 0
211 87 1
977 605 0
396 179 1
986 639 0
22 451 0
579 787 0
606 230 1
731 467 0
268 537 0
618 141 1
989 73 1
868 862 0
390 406 0
103 760 0
127 251 0
167 434 0
570 17 1
514 884 0
654 877 0
473 144 1
15 475 0
448 808 0
565 484 0
916 196 1
73 345 0
40 410 0
796 330 1
878 863 0
961 788 0
146 863 0
784 398 0
986 39 1
856 31 1
228 637 0
84 777 0
709 780 0
654 770 0
825 939 0
513 1000 0
915 145 1
516 421 0
637 334 0
70 683 0
751 261 1
494 356 0
996 477 1
775 54 1
847 917 0
476 238 0
214 227 0
874 545 0
358 385 0
18 561 0
230 922 0
50 440 0
685 919 0
250 656 0
492 501 0
855 254 1
679 516 0
857 784 0
993 33 1
540 757 0
808 52 1
440 523 0
512 281 0
463 672 0
222 627 0
369 374 0
187 259 0
479 15 1
343 203 0
464 615 0
293 574 0
158 7 1
204 643 0
55 447 0
380 993 0
498 659 0
745 192 1
384 972 0
547 947 0
599 954 0
650 80 1
331 510 0
101 341 0
949 603 0
785 95 1
131 235 0
941 229 1
207 385 0
710 580 0
462 597 0
622 950 0
136 932 0
903 340 1
328 168 0
